question_no	question_text	bot_response	bot_response_time	bot_response_attempts
Q1	I left a position a couple of months ago after a disagreement with the other director on the direction of the company. I signed a stock transfer form a month ago to return the 5% I had in the business and assumed it was dealt with after I was told it would be filed and I would be removed. Today, the other director dropped the keys for the offices rented by the business and a note saying I was never taken off of the business and to sell all of the assets, close down the business and pay off the debts (along with sending the other director some money). It came a bit out of left field and I'm fairly new to business but I assumed when I signed that form it removed all of my permissions from doing anything with company assets or filings? Any advice would help as I currently don't know what to do other than send the keys back recorded delivery so I cannot be accused of theft or anything.	This is a complex situation that requires careful handling. Here's some advice: 1. Document everything: - Keep copies of all correspondence - Take photos of the note and keys - Keep records of when and how they were delivered - Save any previous communications about your resignation and stock transfer 2. Regarding the stock transfer: - Check if the form was actually filed with Companies House - Request confirmation of the filing status - Keep copies of the signed stock transfer form 3. Director status: - Check your status on Companies House website - If you're still listed as a director, you technically still have responsibilities - Only a proper resignation filing can remove you as a director 4. Immediate actions: - Do not handle any company assets or make any business decisions - Return the keys via recorded delivery as planned - Write a formal letter/email documenting that you're returning the keys and rejecting any authority over company matters 5. Legal protection: - Consider seeking legal advice, particularly from a corporate lawyer - They can help ensure you're properly removed from the company - They can advise on protecting yourself from potential liabilities 6. Communication: - Keep all communication in writing - Be professional and maintain records of all interactions - Consider having a lawyer review any correspondence before sending Remember: Don't take any actions regarding company assets or decisions until you've clarified your legal position, preferably with professional legal advice.	6.213371276855469	1
Q2	Hi, I hope someone can help advise as Citizens advice are a 14 day turn around and I feel so angry and stressed. My partner was working for a subcontractor I will refer to as X and he subcontracts from Y who then subcontracts from a massive house builder in the UK. X had been booking in work with Y and the work hadn't been done so when Y found out they said he wouldn't be getting anymore more money to pay his 13 guys wages. So now my partner hasn't been paid £1800 after tax becuase of this. Apparently X doesn't have the money and he owes Y over £30k. My partner has tried to contact X and be reasonable about it but he started off saying my partner was at the top of his priority list and he would be paid the money, it is now 3 weeks later and X is ignoring calls and texts. Never in our lives have we struggled like this, we are a large family my partner and I have 8 children together and have now had to use a food bank for the last 2 weeks which we have never had to do as we have been pay check to pay check since covid as we didn't take any of the gouverment grants and this has massively set us back. Please can someone help, what can we do, can I persue X, Y and the massive UK house builder? Should I call. The massive UK house builder and speak to them and let them know the kind of guy that has been subcontracted? Would they even care? We can't let this just be accepted as a loss of £1800 as its put us in debt and it has really affected our family massively. Many Thanks in advance for anyone who takes the time to read and respond.	Here are several steps you can consider taking: 1. Legal Action: - Your partner can file a claim through HMRC's National Minimum Wage complaints system if the non-payment puts them below minimum wage - File a claim through the Employment Tribunal if within 3 months of the non-payment - Make a claim through the Small Claims Court (Money Claim Online) 2. Documentation: - Gather all evidence of work done (timesheets, contracts, communications) - Keep records of all attempts to contact X - Document any verbal agreements or promises made 3. ACAS: - Contact ACAS (Advisory, Conciliation and Arbitration Service) for free advice - They can help mediate the situation before going to tribunal 4. Industry Bodies: - Contact relevant construction industry bodies or unions for advice - Consider reporting X to trade associations they belong to 5. Regarding the main house builder: - You can contact them, but legally they might not be directly responsible - However, they might be interested to know about issues in their supply chain - This could put pressure on Y and X 6. Additional Support: - Contact StepChange or Citizens Advice for debt advice - Apply for Universal Credit if eligible - Contact your local council for emergency support 7. Professional Help: - Consider consulting an employment lawyer (many offer free initial consultations) - Some unions offer free legal advice even if you join after the incident The main house builder might care about their reputation, so it's worth contacting them, but focus primarily on legal routes to recover the money from X, as they are directly responsible for the payment.	7.253610849380493	1
Q3	Good Evening, I am in an extremely difficult situation and I'm looking for a specialist lawyer who can help me with the following: Company A is a trading company that has been in business since 2008 and has been liquidated in 2023. Company B is a property company that has been in business since 2020. We are currently in liquidation with Company A, and one of the creditors is a bank due to an RLS loan. This loan is a cross-guarantee, which means that in case of liquidation, the property company is liable to pay this amount. Background: Company A gave an intercompany loan to Company B to facilitate the purchase of an industrial unit. As Company A is in liquidation, the insolvency practitioner will be asking for the loan amount to be repaid. This means that not only is Company B liable to pay the RLS, but they will also be liable to pay the intercompany loan along with the mortgage on Company B. This puts Company B in a difficult position, and the liquidators are putting pressure on them and asking to put Company B into administration with them. This way, they can sell the industrial unit and I will lose everything I have worked for over the last 17 years. I am here to get some advice, help, and support, but I feel like I have lost it all. Is there any point in carrying on....?	I understand you're in a very difficult and stressful situation. While I can provide some general information, it's crucial that you seek professional legal advice immediately from a solicitor specializing in insolvency and corporate law. Here are some initial thoughts: 1. Immediate Actions: - Don't make any hasty decisions - Document everything - Gather all relevant paperwork regarding both companies - Don't agree to anything with the liquidators without proper legal advice 2. Legal Options to Consider: - Company Voluntary Arrangement (CVA) - Restructuring plans - Refinancing options - Negotiating with creditors - Alternative dispute resolution 3. Professional Support: - Contact a licensed insolvency practitioner for a second opinion - Seek advice from a corporate restructuring specialist - Consider consulting a business rescue expert - Contact organizations like Business Debtline or R3 for guidance 4. Personal Support: - Contact mental health support services - Speak with family and trusted friends - Consider professional counseling Resources: 1. Business Debtline: 0800 197 6026 2. Samaritans: 116 123 (24/7 support) 3. R3 (Association of Business Recovery Professionals) Remember: There are often more options available than might be immediately apparent. Don't give up - seek professional help first. Would you like me to provide more specific information about any of these aspects?	8.586282014846802	1
Q4	I know that LTD company debts, stay with the LTD company, and a personal individual cannot be chased for this. What happens when it's the other way round. A personal debt against an individual who is the sole director of multiple LTD companies? Can company assets be seized to pay a personal debt?	"No, company assets cannot be seized to pay a personal debt. This is because a limited company is considered a separate legal entity from its directors and shareholders, even in the case of a sole director. This is known as the ""corporate veil"" or ""separate legal personality."" Key points: 1. Company assets belong to the company, not to the director personally 2. Creditors cannot seize company assets to settle personal debts 3. The only assets that can be seized are those personally owned by the individual However, there are some exceptions: 1. If the director has given personal guarantees for company debts 2. In cases of fraud or wrongful trading 3. If company assets have been deliberately transferred to avoid paying personal debts 4. If the corporate veil can be ""pierced"" due to improper conduct The best way to protect both personal and business assets is to: - Keep personal and business finances strictly separate - Maintain proper company records - Follow proper corporate governance procedures - Avoid mixing personal and business assets"	4.150773525238037	1
Q5	"I posted a thread s few weeks back about ""closing my ltd company and who to pay"" and got some really helpful advice. Today I got a phone call from a debt collection agency, on behalf of Utility Bidder ( a comparison site for business energy) who I went thru when energy prices were rising and I wanted to secure the best price. Apparently I have broken the contract by not seeing out the whole 3 yr term and they're chasing me for about 1k inc vat. I told him I had applied to companies House to dissolve the company and he told me I wouldn't be able to because I have this outstanding debt with them and I should see an insolvency practitioner. When I told him that I wasnt going to spend 2k+ to settle a 1k debt ,he suggested a payment plan. I asked for time to get some advice because obviously the company has no money with which to pay. He suggested that I should ""find the money from somewhere"". I was a very small bakery and essentially all the equipment was mine, most of it I owned before I set up, some I bought but with my own money, and I used the company money to buy mainly ingredients and small things like replacement knives/bowls. I stopped trading on 24th Dec, I gave notice on my unit and moved out on 18th Jan. I have not traded since and there is no outstanding payments due for goods i supplied. Do I just stick to my guns and let it run its course till they run out of steam?"	"Based on your situation, here are some key points to consider: 1. Limited Liability Protection - If your company was properly set up as a limited company, you are generally protected from personal liability for business debts - Personal assets that belonged to you before the company (and weren't transferred to the company) remain yours 2. Debt Collection Tactics - Debt collectors often use pressure tactics - Their suggestion to ""find money from somewhere"" is not your legal obligation - You are not personally liable for the company's debts unless you signed a personal guarantee 3. Dissolution Process - Creditors can object to the dissolution - If they do, you may need to either: - Deal with the debt - Consider formal insolvency proceedings - Or negotiate a settlement 4. Practical Steps: - Check if you signed any personal guarantees with Utility Bidder - Keep all correspondence - Don't make any promises to pay - Consider seeking free advice from Business Debtline or Citizens Advice - If the debt is genuinely disputed, communicate this in writing If there was no personal guarantee and the company has no assets, you can generally proceed with dissolution. The debt collectors may continue to chase, but they cannot force you personally to pay company debts."	6.0004026889801025	1
Q6	A creditor committee had been formed a few months ago in a quick time, without involving any voting or consent from the creditors. We have found the creditor committee is not doing thing for the best interest of the creditors. We may take the following action. 1. To remove some existing members and to be replaced by some others. 2. To add some new members. Can we do it and how can we do it? Thanks	The ability to modify a creditor committee's composition depends on several factors. Here's a general guidance: 1. Legal Framework: - Creditor committees are typically governed by insolvency/bankruptcy laws - The formation and modification process should follow legal requirements - Court supervision may be required for changes 2. Possible Actions: For Removing/Replacing Members: - Gather evidence of the committee's failure to act in creditors' best interests - File a motion with the bankruptcy court - Demonstrate valid reasons for removal (e.g., conflicts of interest, negligence) - Propose qualified replacements For Adding New Members: - Submit a formal request to the court - Demonstrate why additional members are necessary - Show how new members would benefit creditors' interests Recommended Steps: 1. Consult a bankruptcy attorney 2. Document all concerns about current committee 3. Gather support from other creditors 4. Follow proper legal procedures for filing motions 5. Ensure proposed changes comply with relevant laws Note: Specific procedures may vary by jurisdiction and case circumstances. Legal counsel is strongly recommended.	5.501909494400024	1
Q7	We have a ltd company with 2 shareholders/directors. Unfortunately over the last year work has really quietened down. Also the other shareholder/director would like to leave the company for new ventures. This would leave us in a position where the business could no longer carry on. We have no debt and no overdrawn directors accounts. we didn't take any bounce back loans. All vat bills would be paid as would Cox. The only thing we wouldnt have enough money for is to terminate our telecoms contract which has 7 years left. (they are completely unreasonable and not budging) Would we require liquidators purely for this reason? Thanks.	In this situation, you have a few options to consider: 1. Voluntary Strike Off: - If the telecoms contract is the only liability, you could attempt to negotiate a settlement - However, creditors can object to the strike off and force the company into liquidation 2. Creditors' Voluntary Liquidation (CVL): - This would be the proper legal route if you cannot pay all liabilities - The telecoms company would become an unsecured creditor - A liquidator would handle the formal termination of contracts 3. Pre-pack Administration: - This might be excessive for your situation given the single liability Given your circumstances: - The telecoms contract is a significant liability - You're otherwise debt-free - All tax obligations would be met Recommendations: 1. First, try to negotiate one final time with the telecoms provider 2. Seek professional advice from an insolvency practitioner 3. If negotiation fails, CVL might be the cleanest solution to deal with the telecoms contract The risk of trying to strike off with an outstanding contract is that the telecoms company could force you into compulsory liquidation, which is more expensive and complicated. Consider consulting an insolvency practitioner for specific advice based on your exact circumstances.	5.508726358413696	1
Q8	We've screwed up. We informed our landlord that we would like to execute a break clause in our lease (5 year contract with a 3-year break). As per our lease agreement, we need to provide the landlord at least 3 months notice on the break. We informed them 7 days too late to conform to that requirement (i.e. we've given them 2 months and 3 weeks notice). The person this fell to was out-of-action last week, when they were supposed to do this. Landlord is holding this against us, saying that we are too late, and are liable for the final 2 years. Note, we'd discussed this with the landlord several months ago, that we were looking to get out of the lease sooner as we no longer had enough space to operate effectively. The landlord even arranged viewings for prospective tenants. But we did not formally request it until today (too late). Where do we stand on this?	"This is a complex situation with several important factors to consider: 1. Legal Position: - Break clauses typically require strict compliance with notice periods - Courts generally treat these requirements as mandatory - The fact you're 7 days late could legally invalidate your break notice 2. Mitigating Factors: - Prior discussions with landlord about leaving - Landlord's active involvement in arranging viewings - These actions could potentially constitute a waiver or estoppel 3. Possible Arguments: - The landlord's conduct in arranging viewings might suggest they accepted your intention to leave - There could be an argument for ""reasonable notice"" given the prior communications - The landlord's knowledge of your intentions might be relevant Recommendations: 1. Seek immediate legal advice from a property lawyer 2. Gather all documentation of prior communications and viewings 3. Try to negotiate with the landlord, possibly offering some compensation for the late notice 4. Consider whether there are any other breaches by the landlord that could help your position While you're technically in breach of the notice requirement, the prior discussions and landlord's actions might give you some leverage for negotiation. A legal professional can best advise on your specific circumstances."	5.35322380065918	1
Q9	Business has been a LTD Company since 2014 with good trading history in retail/B2B. Like many we suffered during covid after being closed and not being able to trade as normal. We restructured in some ways but still required retail store. We have recently had to close the retail store Nov 22 to reduce costs and restructure our customer base more towards B2B clients. After 3 months trading from a new non retail location we have come to the conclusion the business is no longer viable for various reasons. Business has 2 equal directors. BBL Natwest balance around £14k which has been paid consistently until Jan when we had to take a payment holiday to help with cash flow. We have an OD with bank of around 6K which has a directors guarantee, we could probably cover this with sale of assets. CH & HMRC in good order. A few outstanding invoices from the closure retail store for around 7K, asset sale won't cover. Two lease cars both with 1 year each left on lease but leased via LTD company with no directors guarantee that we can see in the paperwork. Our customer base has pretty much dried up and the customers we do have are being very careful on what they spend since cost of living issue hit the media, so although we are trading we struggle with cash flow on a daily basis. I know these amounts are not huge but we feel like we are fighting a loosing battle and want to look at options of closing the business or selling it and moving on. But have no idea where to start. This I'm sure is a very common story after recent events and I never thought I would ever be even contemplating these options but it feels like the only option. Have read a few posts and seen the SpongeBob post but don't know what to do for best. Have a meeting with accountant soon to discuss but would be great-full for any advise. TIA	Based on your situation, here are some potential options and steps to consider: 1. Initial Steps: - Meet with your accountant as planned - Get a clear picture of all assets, liabilities, and contractual obligations - Document everything thoroughly - Stop taking on new commitments/orders 2. Potential Options: A. Voluntary Liquidation (CVL): - Most common route for insolvent companies - Professional liquidator appointed - Orderly wind-down of business - Protection from personal liability (except guaranteed debts) B. Pre-pack Administration: - If business has salvageable elements - Sell assets/business to new company - Could preserve some value/relationships C. Attempt to sell the business: - Might be difficult given current performance - Could explore selling customer list/goodwill - Consider competitor businesses as potential buyers 3. Specific Considerations: For BBL (£14k): - Personal liability exists - Consider negotiating payment plan - Document all attempts to pay For Overdraft (£6k): - Priority due to personal guarantee - Use asset sales to clear if possible For Lease Cars: - Check termination clauses - Negotiate early termination if possible - May need to be part of liquidation process 4. Immediate Actions: - Stop personal guarantees on new commitments - Preserve cash where possible - Keep detailed records - Maintain communication with creditors - Consider seeking professional insolvency advice 5. Professional Help: - Licensed Insolvency Practitioner consultation - Legal advice regarding personal guarantees - Continue working with accountant Remember: - Act in creditors' best interests - Keep good records - Don't take on new debt - Be transparent with stakeholders - Consider your mental health and wellbeing Would recommend speaking with: 1. Your accountant 2. Licensed Insolvency Practitioner 3. Business Debtline (free advice) 4. Consider joining FSB (Federation of Small Businesses) for support The key is to act early while you still have options and assets to work with.	9.969405174255371	1
Q10	Hi everyone, long time lurker here. Fortunately, I've never needed to read this subsection until now! Bit of a backstory: I've been running a limited co for 6 years now, I've always had a bit of a hard time getting a hold of the accountants despite paying monthly retainers but the last couple of years have been particularly bad, late filings, no call backs and so on. I've recently switched to a new practice who have reviewed my accountants in full and immediately flagged a horrific situation. The accounts were a mess. The tax liabilities were much higher than expected and it turns out, I've unknowingly taken illegal dividends to the sum of 35k. I've spoken to a local liquidator who has stressed that this needs handled and I will be forced into personal bankruptcy, no question. I have no assets, everything was sold to keep the business going post-covid. Beyond the dividends, I owe personal tax. There's about 15k worth of equipment in the business and cash in the bank or due in. The top line has done well over the years but in the current climate, it will be almost impossible for the company to earn its way out of things. I'm wondering if there's any independent advice I could get? I'm terrified that if I go bankrupt, it will ruin my future prospects and could have been avoided. Thanks	Based on your situation, here's some advice: 1. Seek Professional Help: - Consult an insolvency practitioner for a second opinion - Speak with a qualified business lawyer - Consider getting independent financial advice 2. Regarding Illegal Dividends: - Document when and how you discovered the issue - Gather all correspondence with your previous accountants - You may have a professional negligence claim against them - Consider whether their professional indemnity insurance could help 3. Options to Consider: - Negotiate with creditors for a payment plan - Look into a Company Voluntary Arrangement (CVA) - Consider a Time to Pay arrangement with HMRC - Explore selling or restructuring the business 4. Important Points: - Keep detailed records of everything - Don't take on new debt or make preferential payments - Continue trading only if it's viable and not worsening the situation - Act quickly as directors' duties change when insolvency threatens 5. Personal Bankruptcy Alternatives: - Individual Voluntary Arrangement (IVA) - Debt Management Plan - Informal arrangements with creditors Consider contacting: - Business Debtline - Citizens Advice - A licensed insolvency practitioner for free initial advice - The Institute of Chartered Accountants regarding the previous accountants' conduct Remember: Acting promptly and seeking professional advice can help identify more options than you might realize.	8.039242029190063	1
