question_no,question_text
Q1,"I left a position a couple of months ago after a disagreement with the other director on the direction of the company..."
Q2,"Hi, I hope someone can help advise as Citizens advice are a 14 day turn around and I feel so angry and stressed..."
Q3,"Good Evening, I am in an extremely difficult situation and I'm looking for a specialist lawyer..."
Q4,"I know that LTD company debts stay with the LTD company, and a personal individual cannot be chased for this..."
Q5,"I posted a thread a few weeks back about 'closing my ltd company and who to pay' and got some really helpful advice..."
Q6,"A creditor committee had been formed a few months ago in a quick time, without involving any voting or consent..."
Q7,"We have a ltd company with 2 shareholders/directors. Unfortunately over the last year work has really quietened down..."
Q8,"We've screwed up. We informed our landlord that we would like to execute a break clause in our lease..."
Q9,"Business has been a LTD Company since 2014 with good trading history in retail/B2B. Like many we suffered during covid..."
Q10,"Hi everyone, long time lurker here. Fortunately, I've never needed to read this subsection until now..."
Q11,"I know TUPE applies when a business changes hands. I seem to remember reading TUPE also applies..."
Q12,"Hi there, I wonder if anybody else has been through this and can shed some light on it..."
Q13,"Sorry, bit of an essay, I am looking for some advice on a partnership matter..."
Q14,"I'm in the process of winding up my limited business (only me and wife are directors with no employees)..."
